gene,group_2field,catalogued_3field_variants,observed_3field_variants,n_individuals,dominant_ancestry,dominant_ancestry_share
C,14:06,0,0,10,amr,100.0
C,06:04,2,1,10,eur,100.0
C,05:16,0,0,10,eur,100.0
C,05:11,0,0,9,afr,88.9
C,03:40,4,2,9,eur,88.9
C,03:87,2,2,9,eur,88.9
C,07:28,0,0,9,afr,100.0
C,03:385,0,0,9,eur,66.7
C,04:05,0,0,9,eur,100.0
C,06:30,1,1,9,eur,88.9
C,06:11,0,0,9,eur,88.9
C,08:30,0,0,9,eur,77.8
C,08:05,0,0,8,eur,87.5
C,03:246,0,0,8,eur,62.5
C,01:07,2,1,8,eur,100.0
C,07:184,0,0,8,afr,100.0
C,05:04,2,2,8,amr,87.5
C,07:93,2,1,8,eur,62.5
C,05:156,0,0,8,eur,100.0
C,07:112,0,0,8,afr,100.0
C,04:33,0,0,8,eur,37.5
C,03:536,2,1,8,afr,50.0
C,18:02,5,2,8,afr,100.0
C,07:18,15,2,8,afr,62.5
C,08:16,2,1,7,amr,85.7
C,03:47,0,0,7,amr,100.0
C,01:06,0,0,7,eas,85.7
C,07:368,2,2,7,eur,85.7
C,05:104,0,0,7,eur,100.0
C,05:10,0,0,7,eur,85.7
C,03:39,0,0,7,eur,85.7
C,16:07,2,2,7,afr,71.4
C,08:15,2,1,7,eur,71.4
C,02:19,0,0,7,eur,100.0
C,01:17,0,0,7,eur,42.9
C,08:28,0,0,7,amr,42.9
C,05:14,0,0,7,eur,100.0
C,07:173,0,0,6,afr,100.0
C,03:151,2,0,6,eur,100.0
C,04:65,1,1,6,eur,100.0
C,07:51,0,0,6,eur,66.7
C,12:07,0,0,6,afr,100.0
C,08:134,0,0,6,eur,66.7
C,08:25,0,0,6,eur,66.7
C,12:28,0,0,6,eur,50.0
C,03:11,2,1,6,eur,66.7
C,03:121N,0,0,6,afr,100.0
C,02:26,3,3,6,eur,66.7
C,03:94,2,1,6,eur,66.7
C,08:53,0,0,6,eur,66.7
C,06:127,2,2,6,afr,66.7
C,08:183,0,0,5,eur,40.0
C,01:27,0,0,5,eur,100.0
C,02:31,2,1,5,eur,100.0
C,04:08,0,0,5,afr,100.0
C,15:22,0,0,5,afr,80.0
C,03:43,2,1,5,eur,80.0
C,05:64,2,1,5,eur,60.0
C,05:111,0,0,5,eur,80.0
C,04:19,0,0,5,amr,100.0
C,05:58,4,3,5,eur,100.0
C,07:60,0,0,5,eur,100.0
C,03:27,0,0,5,amr,100.0
C,07:1136,0,0,5,amr,40.0
C,16:08,0,0,4,afr,100.0
C,15:17,0,0,4,amr,75.0
C,02:04,0,0,4,amr,100.0
C,15:16,2,1,4,eur,100.0
C,03:591,0,0,4,eur,75.0
C,04:180,3,1,4,afr,75.0
C,02:07,0,0,4,eur,50.0
C,08:08,2,1,4,amr,100.0
C,04:24,0,0,4,eur,50.0
C,15:24,0,0,4,eur,100.0
C,08:11,0,0,4,amr,100.0
C,07:31,2,2,4,eur,100.0
C,05:36,0,0,4,eur,75.0
C,12:14,2,1,4,eur,100.0
C,03:165,2,1,4,eur,75.0
C,02:27,2,1,4,eur,50.0
C,03:37,2,2,4,eas,50.0
C,15:08,2,2,4,amr,100.0
C,04:17,0,0,4,amr,100.0
C,18:03,0,0,4,afr,100.0
C,08:19,2,1,4,eur,50.0
C,15:10,4,2,4,sas,50.0
C,03:36,0,0,4,eas,100.0
C,03:431,0,0,4,eas,50.0
C,18:04,0,0,3,afr,100.0
C,06:106,2,2,3,eur,100.0
C,06:252,0,0,3,eur,100.0
C,05:25,0,0,3,eur,66.7
C,07:24,2,0,3,eur,100.0
C,14:05,0,0,3,eur,100.0
C,07:56,2,1,3,eas,100.0
C,04:114,0,0,3,afr,66.7
C,04:27,0,0,3,afr,100.0
C,07:85,0,0,3,eur,100.0
C,15:27,0,0,3,amr,100.0
C,04:54,2,1,3,eur,66.7
C,08:72,2,2,3,eur,66.7
C,03:257,0,0,3,afr,33.3
C,05:46,1,1,3,afr,66.7
C,03:683,0,0,3,eur,66.7
C,07:76,2,2,3,afr,33.3
C,05:269,0,0,3,amr,33.3
C,07:25,0,0,3,eur,100.0
C,04:36,0,0,3,eur,66.7
C,03:70,0,0,3,amr,66.7
C,03:44,0,0,3,eur,100.0
C,05:171,1,1,3,eur,100.0
C,07:40,0,0,3,eur,100.0
C,06:87,0,1,3,eur,66.7
C,03:126,0,0,3,eur,66.7
C,01:32,2,1,3,eur,100.0
C,12:59,0,0,3,afr,100.0
C,12:18,2,1,3,eur,66.7
C,12:98,0,0,3,amr,66.7
C,07:104N,0,0,2,eur,100.0
C,01:146,2,1,2,eur,100.0
C,07:16,0,0,2,eur,100.0
C,03:140,1,1,2,eur,100.0
C,03:343,0,0,2,eur,100.0
C,04:113,0,0,2,amr,50.0
C,12:19,0,0,2,afr,100.0
C,07:255,0,0,2,afr,100.0
C,03:35,2,1,2,amr,50.0
C,07:448,0,0,2,eur,100.0
C,03:15,0,0,2,afr,50.0
C,06:13,0,0,2,eur,100.0
C,04:37,0,0,2,eur,100.0
C,07:731,0,0,2,eur,100.0
C,04:11,0,0,2,eur,100.0
C,02:03,0,0,2,eur,100.0
C,03:85,0,0,2,eas,100.0
C,07:453,0,0,2,eur,100.0
C,05:77,0,0,2,eur,100.0
C,07:38,2,1,2,eur,100.0
C,08:62,2,2,2,amr,50.0
C,08:32,0,0,2,afr,100.0
C,03:293,0,0,2,afr,50.0
C,07:127,2,1,2,eur,100.0
C,14:46,2,2,2,eur,50.0
C,06:58,0,0,2,eur,100.0
C,17:40,0,0,2,eur,100.0
C,07:514,2,1,2,eur,100.0
C,03:309,2,1,2,eur,100.0
C,05:288,0,0,2,eur,100.0
C,15:43,0,0,2,amr,100.0
C,07:12,0,0,2,eur,100.0
C,07:119,0,0,2,eur,100.0
C,05:13,0,0,2,eur,100.0
C,16:139,0,0,2,amr,50.0
C,04:103,2,1,2,eur,100.0
C,01:23,0,0,2,eur,100.0
C,03:13,2,1,2,eur,100.0
C,07:314,3,1,2,eur,50.0
C,03:88,0,0,2,sas,100.0
C,07:44,0,0,2,eur,100.0
C,07:155,0,0,2,amr,50.0
C,06:218,0,0,2,eur,100.0
C,04:64,2,2,2,amr,50.0
C,08:239,0,0,2,amr,50.0
C,07:13,1,1,2,eur,100.0
C,03:117,0,0,2,afr,50.0
C,07:95,0,1,2,eur,100.0
C,07:36,0,0,2,eur,100.0
C,03:82,0,0,2,eur,50.0
C,05:42,0,0,2,eur,50.0
C,03:21,0,0,2,eas,100.0
C,04:94,2,1,2,eur,50.0
C,03:535,1,1,2,eur,50.0
C,08:23,0,0,2,eur,100.0
C,03:48,0,0,1,eur,100.0
C,16:25,0,0,1,afr,100.0
C,08:218,0,0,1,eur,100.0
C,03:115,2,1,1,afr,100.0
C,07:459,0,0,1,afr,100.0
C,07:106,0,0,1,eur,100.0
C,12:122,0,0,1,eur,100.0
C,08:119,0,0,1,amr,100.0
C,03:42,2,1,1,eur,100.0
C,06:38,0,0,1,eur,100.0
C,16:09,0,0,1,amr,100.0
C,06:14,0,0,1,eur,100.0
C,05:121,0,0,1,eur,100.0
C,12:94,0,0,1,eur,100.0
C,07:252,0,0,1,amr,100.0
C,06:76,2,1,1,eur,100.0
C,03:34,0,0,1,eur,100.0
C,01:70,0,0,1,eur,100.0
C,12:85,3,1,1,eur,100.0
C,03:67,0,0,1,afr,100.0
C,07:123,2,1,1,eur,100.0
C,06:74Q,0,0,1,sas,100.0
C,03:645,0,0,1,eas,100.0
C,07:201,0,0,1,eur,100.0
C,04:29,0,0,1,eur,100.0
C,07:15,0,0,1,eur,100.0
C,04:223,2,1,1,amr,100.0
C,03:69,0,0,1,eur,100.0
C,08:111,0,0,1,amr,100.0
C,01:54,0,0,1,afr,100.0
C,07:360,0,0,1,eur,100.0
C,07:456,0,0,1,eur,100.0
C,07:234,0,0,1,eur,100.0
C,03:304,0,0,1,eas,100.0
C,07:1094,0,0,1,amr,100.0
C,07:600,2,1,1,afr,100.0
C,03:192,0,0,1,eur,100.0
C,06:34,2,1,1,mid,100.0
C,03:45,0,0,1,amr,100.0
C,07:43,2,1,1,eas,100.0
C,06:182,0,0,1,eur,100.0
C,03:159,0,0,1,amr,100.0
C,12:45,0,0,1,eur,100.0
C,14:11,0,0,1,eur,100.0
C,12:09,0,0,1,amr,100.0
C,03:454,0,0,1,eur,100.0
C,03:307,0,0,1,eur,100.0
C,01:67,0,0,1,amr,100.0
C,03:282,0,0,1,eur,100.0
C,04:202,2,1,1,afr,100.0
C,08:163,0,0,1,amr,100.0
C,12:06,0,0,1,eur,100.0
C,03:28,0,0,1,eur,100.0
C,01:58,0,0,1,eur,100.0
C,06:210,0,0,1,eur,100.0
