condition_name,n_people,prevalence_pct,mean_codes_per_affected
Disorder of menstruation,223,2.9,2.8
Streptococcal sore throat,223,2.9,2.0
Chronic nonalcoholic liver disease,222,2.9,8.1
Gastrointestinal hemorrhage,221,2.9,5.0
Atrophic vaginitis,221,2.9,6.1
Hypovolemia,220,2.8,1.9
Hypomagnesemia,220,2.8,4.5
Herpes zoster without complication,220,2.8,5.3
Frank hematuria,220,2.8,5.8
Menopausal syndrome,220,2.8,3.8
Internal hemorrhoids,219,2.8,2.1
Regular astigmatism,218,2.8,3.0
Skin sensation disturbance,217,2.8,3.0
Cerebral infarction,217,2.8,12.8
Disorder of nail,216,2.8,3.8
Acquired trigger finger,216,2.8,7.9
Skin changes due to chronic exposure to non-ionizing radiation,215,2.8,4.3
Iron deficiency anemia due to blood loss,214,2.8,12.2
Esophagitis,213,2.8,5.5
Migraine with aura,213,2.8,8.1
Central sleep apnea syndrome,212,2.7,7.5
Breathing painful,211,2.7,2.1
Polyneuropathy due to type 2 diabetes mellitus,211,2.7,10.4
Hypertrophy of nasal turbinates,209,2.7,4.5
Lateral epicondylitis,209,2.7,4.9
Retinal disorder,208,2.7,7.5
Disorder of respiratory system,207,2.7,2.5
Eustachian tube disorder,207,2.7,2.8
Mononeuritis,206,2.7,3.7
Tension-type headache,206,2.7,3.0
Alopecia,205,2.7,3.9
"Gestation period, 37 weeks",205,2.7,2.7
"Flatulence, eructation and gas pain",205,2.7,3.1
Varicose veins of lower extremity,205,2.7,6.5
Urge incontinence of urine,204,2.6,7.2
Diverticular disease,204,2.6,5.0
Disorder of bursa of shoulder region,203,2.6,4.2
Large liver,203,2.6,2.9
Attention deficit hyperactivity disorder,202,2.6,13.2
Fibrocystic disease of breast,201,2.6,4.8
Pain in right arm,201,2.6,3.4
Hypertensive disorder,201,2.6,4.1
Cannabis-induced organic mental disorder,201,2.6,3.2
Adjustment disorder with mixed anxiety and depressed mood,200,2.6,12.3
Generalized hyperhidrosis,200,2.6,3.5
Inguinal hernia,199,2.6,6.8
Alcohol dependence,198,2.6,33.9
"Gestation period, 8 weeks",198,2.6,3.3
Pelvic and perineal pain,197,2.5,4.3
Hand joint pain,197,2.5,4.8
"Gestation period, 39 weeks",196,2.5,2.5
Left upper quadrant pain,196,2.5,2.9
Mammographic calcification of breast,196,2.5,3.7
Hypercalcemia,196,2.5,7.5
Disorder of sebaceous gland,195,2.5,1.7
Orthostatic hypotension,194,2.5,5.4
Scoliosis deformity of spine,194,2.5,5.8
Hydronephrosis,192,2.5,5.4
Lumbosacral radiculopathy,192,2.5,5.2
Blindness AND/OR vision impairment level,192,2.5,3.3
Ingrowing nail,191,2.5,4.3
Lumbar spondylosis with myelopathy,190,2.5,3.1
Brachial radiculitis,189,2.4,4.9
Illness,189,2.4,5.4
Intervertebral disc disorder of lumbar region with myelopathy,189,2.4,3.9
Dysmenorrhea,188,2.4,4.3
Pain in throat,188,2.4,2.7
Angina co-occurrent and due to coronary arteriosclerosis,188,2.4,8.2
Urinary tract obstruction,188,2.4,6.1
Chronic cough,188,2.4,3.9
Female stress incontinence,187,2.4,4.9
Epiretinal membrane,187,2.4,10.2
Primary malignant neoplasm of prostate,187,2.4,52.7
Cardiomyopathy,187,2.4,12.1
"Gestation period, 38 weeks",187,2.4,2.1
"Gestation period, 36 weeks",187,2.4,2.6
Primary malignant neoplasm of female breast,186,2.4,63.3
Localized osteoarthrosis uncertain if primary OR secondary,186,2.4,4.0
Blood coagulation disorder,186,2.4,6.8
Meibomian gland dysfunction,185,2.4,3.9
Psoriasis,184,2.4,17.5
Disorder of eye region,184,2.4,2.6
Neck swelling,184,2.4,3.7
Greater trochanteric pain syndrome,184,2.4,6.1
Meibomian gland dysfunction of right eye,183,2.4,4.3
Osteophyte of bone,182,2.4,1.9
Complication of surgical procedure,182,2.4,2.2
Erythema of skin,181,2.3,2.3
Carotid artery obstruction,180,2.3,8.0
Umbilical hernia,180,2.3,3.6
Mitral valve disorder,180,2.3,6.5
Melanocytic nevus of trunk,180,2.3,3.9
Helicobacter-associated disease,180,2.3,3.5
Panic disorder without agoraphobia,179,2.3,7.3
Contact dermatitis,179,2.3,3.3
Restless legs,179,2.3,9.4
Intramural leiomyoma of uterus,178,2.3,2.6
Episodic mood disorder,178,2.3,5.1
Sebaceous cyst of skin,177,2.3,2.6
Chronic kidney disease stage 2,176,2.3,9.4
Rosacea,176,2.3,6.2
Acquired hallux valgus,175,2.3,5.9
Disorder of female genital organs,175,2.3,2.5
Degeneration of lumbosacral intervertebral disc,175,2.3,3.8
Rectal polyp,175,2.3,2.0
Lesion of ulnar nerve,175,2.3,6.1
"Localized, primary osteoarthritis",174,2.3,5.3
Benign neoplasm of sigmoid colon,174,2.3,1.9
Disorder of refraction,174,2.3,2.8
Talipes planus,174,2.3,3.9
Supraventricular tachycardia,173,2.2,9.2
Lumbar spondylolisthesis,173,2.2,4.1
Hematochezia,173,2.2,2.4
Renal disorder due to type 2 diabetes mellitus,173,2.2,12.3
Ocular hypertension,173,2.2,9.0
Right bundle branch block,173,2.2,3.9
Periapical abscess,172,2.2,2.5
Disorder of ear,172,2.2,2.2
Displacement of lumbar intervertebral disc without myelopathy,172,2.2,4.2
Cannabis abuse,171,2.2,4.8
Infective otitis externa,171,2.2,2.7
Disorder of male genital organ,170,2.2,4.5
Acute atopic conjunctivitis,170,2.2,3.0
Epilepsy,170,2.2,13.3
Disorder of eyelid,169,2.2,2.9
Disorder of refraction AND/OR accommodation,169,2.2,3.6
Acute disease,169,2.2,2.2
Ascites,169,2.2,6.9
Neuralgia,169,2.2,5.0
Anemia in chronic kidney disease,168,2.2,11.6
Disorder of phosphorus metabolism,168,2.2,3.2
Disorder of esophagus,167,2.2,2.6
Transient cerebral ischemia,166,2.1,9.2
Chronic diastolic heart failure,165,2.1,13.9
Rheumatoid arthritis,164,2.1,24.0
Disorder of pregnancy,164,2.1,7.6
Digestive system finding,164,2.1,2.7
Cholelithiasis without obstruction,164,2.1,4.4
"Gestation period, 35 weeks",163,2.1,2.3
Overactive urinary bladder,163,2.1,7.5
Immunodeficiency disorder,163,2.1,14.3
Non-rheumatic mitral valve stenosis with regurgitation,163,2.1,6.8
Chronic kidney disease stage 3A,163,2.1,7.3
Pulmonary emphysema,162,2.1,9.1
Pain in eye,162,2.1,2.1
Disorder of thigh,162,2.1,3.4
Disorder of the peripheral nervous system,161,2.1,4.2
Solitary cyst of breast,161,2.1,6.6
Severe recurrent major depression without psychotic features,161,2.1,25.0
Benign neoplasm of cecum,160,2.1,2.1
Chronic systolic heart failure,160,2.1,16.7
Chronic ischemic heart disease,160,2.1,10.7
Swelling of trunk,159,2.1,4.9
Idiopathic osteoarthritis,157,2.0,5.2
Fibromyalgia,157,2.0,18.3
Uncomplicated moderate persistent asthma,156,2.0,9.4
"Gestation period, 12 weeks",156,2.0,1.8
Synovitis and tenosynovitis,156,2.0,3.2
Chronic maxillary sinusitis,155,2.0,5.0
Primary insomnia,154,2.0,5.5
Psychoactive substance abuse,154,2.0,4.7
Disorder of cardiovascular system,153,2.0,3.5
Late effect of medical and surgical care complication,153,2.0,2.6
Hypervolemia,153,2.0,4.4
First degree atrioventricular block,153,2.0,2.9
Calcaneal spur,152,2.0,2.3
Peripheral circulatory disorder due to type 2 diabetes mellitus,152,2.0,8.1
Hypertensive heart and renal disease with (congestive) heart failure,151,2.0,6.8
Disorder of immune function,151,2.0,8.6
Chorea,151,2.0,4.4
Hypoglycemia,150,1.9,5.0
Hypocalcemia,150,1.9,3.5
Osteoarthrosis of the carpometacarpal joint of the thumb,150,1.9,5.9
"Injury of muscle and tendon of abdomen, lower back and pelvis",149,1.9,2.6
Aortic valve disorder,149,1.9,10.1
Disorder of urinary bladder,149,1.9,2.5
Sprain of upper extremity,149,1.9,2.7
Disorder of optic nerve,148,1.9,8.2
Skin finding,148,1.9,2.0
Localized swelling of head,147,1.9,2.7
Mixed urinary incontinence,147,1.9,6.1
Anxiety,146,1.9,4.6
Eye / vision finding,146,1.9,2.1
Primary open angle glaucoma,145,1.9,20.9
