icd3,n_people,n_distinct_concepts,commonest_name,prevalence_pct
F13,32,10,"Sedative, hypnotic AND/OR anxiolytic-related disorder",0.4
J21,32,2,Acute bronchiolitis,0.4
H15,32,10,Scleritis,0.4
C79,32,3,Metastatic malignant neoplasm to unknown site,0.4
G72,31,5,Disorder of muscle,0.4
B86,31,2,Infestation by Sarcoptes scabiei var hominis,0.4
J94,31,3,Pleurisy,0.4
Q43,31,4,Congenital anomaly of intestinal tract,0.4
N47,30,4,Phimosis,0.4
R64,30,1,Cachexia,0.4
O22,30,9,Third trimester pregnancy,0.4
O40,30,4,Polyhydramnios,0.4
G30,30,3,Alzheimer's disease,0.4
T23,30,16,Partial thickness burn of hand,0.4
F63,30,4,Impulse control disorder,0.4
G83,30,11,Cauda equina syndrome,0.4
R03,29,1,Low blood pressure,0.4
Q23,29,5,Congenital insufficiency of aortic valve,0.4
E01,29,1,Endemic goiter,0.4
K94,29,11,Malfunction of gastrostomy tube,0.4
D86,29,8,Sarcoidosis,0.4
N36,29,4,Disorder of urethra,0.4
E65,29,1,Localized adiposity,0.4
H74,29,7,Disorder of both middle ear and mastoid,0.4
M66,29,5,Rupture of synovial cyst of knee,0.4
A54,29,3,Gonorrhea,0.4
D16,28,9,Benign neoplasm of mandible,0.4
D37,28,13,Neoplasm of uncertain behavior of colon,0.4
N46,28,4,Male infertility,0.4
K37,28,1,Appendicitis,0.4
Z94,28,2,Transplanted liver present,0.4
G96,28,5,Cerebrospinal fluid leak,0.4
C83,28,13,Diffuse large B-cell lymphoma (nodal/systemic with skin involvement),0.4
C22,28,5,Liver cell carcinoma,0.4
Z03,28,1,Placental finding,0.4
I62,27,3,Non-traumatic subdural hemorrhage,0.3
G91,27,4,Hydrocephalus,0.3
S73,27,5,Sprain of hip,0.3
A53,27,2,Syphilis,0.3
J91,27,3,Pleural effusion,0.3
O30,26,3,First trimester pregnancy,0.3
C90,26,5,Multiple myeloma,0.3
W45,26,2,Foreign body in skin,0.3
