gene	ancestry_scheme	ancestry	unrelated_only	n_haplotypes	n_persons	n_homopolymer_only	n_indel_nonhomopolymer	n_snv_plus_indel	n_snv_only	n_no_difference	frac_homopolymer_only
HLA-B	strict	AMR	True	308	295	61	31	25	139	52	0.19805194805194806
HLA-B	strict	EAS	True	240	225	72	27	<20	98	34	0.3
HLA-B	strict	EUR	True	189	177	51	25	<20	50	54	0.2698412698412698
HLA-B	strict	MID	True	56	53	<20	<20	<20	26	<20	0.19642857142857142
HLA-B	strict	SAS	True	232	216	40	24	<20	128	28	0.1724137931034483
HLA-C	strict	POOLED	True	1621	1541	376	349	122	482	292	0.23195558297347316
HLA-C	strict	AFR	True	389	374	77	76	<20	122	95	0.19794344473007713
HLA-C	strict	AMR	True	188	179	55	39	<20	52	27	0.2925531914893617
HLA-C	strict	EAS	True	210	199	30	35	<20	88	42	0.14285714285714285
HLA-C	strict	EUR	True	134	126	41	37	<20	28	<20	0.30597014925373134
HLA-C	strict	MID	True	35	35	<20	<20	<20	<20	<20	0.17142857142857143
HLA-C	strict	SAS	True	181	168	29	27	<20	68	44	0.16022099447513813
HLA-DPA1	strict	POOLED	True	2595	2413	367	365	211	1488	164	0.14142581888246628
HLA-DPA1	strict	AFR	True	563	523	77	80	41	336	29	0.13676731793960922
HLA-DPA1	strict	AMR	True	373	349	45	49	27	227	25	0.12064343163538874
HLA-DPA1	strict	EAS	True	343	314	27	40	25	245	<20	0.07871720116618076
HLA-DPA1	strict	EUR	True	193	179	34	28	23	76	32	0.17616580310880828
HLA-DPA1	strict	MID	True	60	60	<20	<20	<20	31	<20	0.2
HLA-DPA1	strict	SAS	True	300	280	35	32	20	198	<20	0.11666666666666667
HLA-DPB1	strict	POOLED	True	4353	3812	747	1173	607	1814	<20	0.17160578911095797
HLA-DPB1	strict	AFR	True	1150	1001	162	234	195	558	<20	0.1408695652173913
HLA-DPB1	strict	AMR	True	429	390	80	106	66	175	<20	0.1864801864801865
HLA-DPB1	strict	EAS	True	666	564	60	137	80	386	<20	0.09009009009009009
HLA-DPB1	strict	EUR	True	291	257	78	99	37	75	<20	0.26804123711340205
HLA-DPB1	strict	MID	True	113	96	27	36	<20	33	0	0.23893805309734514
HLA-DPB1	strict	SAS	True	482	417	68	198	42	174	0	0.14107883817427386
HLA-DQA1	strict	POOLED	True	3387	3054	1320	785	295	965	22	0.38972542072630645
HLA-DQA1	strict	AFR	True	742	670	231	199	80	218	<20	0.3113207547169811
HLA-DQA1	strict	AMR	True	308	291	102	109	30	65	<20	0.33116883116883117
HLA-DQA1	strict	EAS	True	426	370	242	54	29	101	0	0.568075117370892
HLA-DQA1	strict	EUR	True	307	279	144	82	<20	62	0	0.46905537459283386
HLA-DQA1	strict	MID	True	85	76	33	<20	<20	31	0	0.38823529411764707
HLA-DQA1	strict	SAS	True	435	396	120	51	31	232	<20	0.27586206896551724
HLA-DQB1	strict	POOLED	True	2192	2039	828	577	212	565	<20	0.3777372262773723
HLA-DQB1	strict	AFR	True	503	468	163	154	52	132	<20	0.3240556660039761
HLA-DQB1	strict	AMR	True	263	245	106	67	32	56	<20	0.40304182509505704
HLA-DQB1	strict	EAS	True	251	237	69	37	<20	124	<20	0.2749003984063745
HLA-DQB1	strict	EUR	True	194	176	90	60	<20	27	0	0.4639175257731959
HLA-DQB1	strict	MID	True	52	49	<20	<20	<20	<20	0	0.3076923076923077
HLA-DQB1	strict	SAS	True	196	186	92	46	<20	42	0	0.46938775510204084
HLA-DRB1	strict	POOLED	True	13848	9649	2200	6201	3297	2149	<20	0.1588677065280185
HLA-DRB1	strict	AFR	True	2963	2003	479	1034	844	606	0	0.16166047924400945
HLA-DRB1	strict	AMR	True	1829	1290	266	838	465	260	0	0.14543466375068342
HLA-DRB1	strict	EAS	True	1756	1136	507	597	466	185	<20	0.2887243735763098
HLA-DRB1	strict	EUR	True	1141	876	130	641	228	142	0	0.11393514460999124
HLA-DRB1	strict	MID	True	370	256	41	190	89	50	0	0.11081081081081082
HLA-DRB1	strict	SAS	True	1501	1005	216	652	297	336	0	0.14390406395736177
ALL	strict	POOLED	True	30962	11139	6568	9980	4896	8483	1035	0.2121309992894516
ALL	strict	AFR	True	6998	2240	1345	1893	1259	2223	278	0.19219777079165476
ALL	strict	AMR	True	3771	1481	743	1265	661	983	119	0.19702996552638558
ALL	strict	EAS	True	3966	1237	1028	954	646	1238	100	0.259203227433182
ALL	strict	EUR	True	2524	1129	589	1003	346	467	119	0.23335974643423138
ALL	strict	MID	True	789	290	148	282	132	211	<20	0.18757921419518378
ALL	strict	SAS	True	3385	1114	622	1051	432	1190	90	0.18375184638109307
