gene	series	occurrence_bin	n_alleles	alleles_per_k
HLA-DRB1	cds_changing	3-4	0	0.0
HLA-DRB1	cds_changing	5-8	0	0.0
HLA-DRB1	cds_changing	9-16	0	0.0
HLA-DRB1	cds_changing	17-32	0	0.0
HLA-DRB1	cds_changing	33-64	0	0.0
HLA-DRB1	cds_changing	65-128	0	0.0
HLA-DRB1	cds_changing	129-256	0	0.0
HLA-DRB1	cds_changing	257-512	0	0.0
HLA-DRB1	cds_changing	513-1024	0	0.0
HLA-DRB1	cds_changing	>1024	0	0.0
HLA-DRB1	noncoding_only	1	57	57.0
HLA-DRB1	noncoding_only	2	16	16.0
HLA-DRB1	noncoding_only	3-4	6	3.0
HLA-DRB1	noncoding_only	5-8	6	1.5
HLA-DRB1	noncoding_only	9-16	7	0.875
HLA-DRB1	noncoding_only	17-32	7	0.4375
HLA-DRB1	noncoding_only	33-64	7	0.21875
HLA-DRB1	noncoding_only	65-128	6	0.09375
HLA-DRB1	noncoding_only	129-256	7	0.0546875
HLA-DRB1	noncoding_only	257-512	14	0.0546875
HLA-DRB1	noncoding_only	513-1024	8	0.015625
HLA-DRB1	noncoding_only	>1024	1	0.0009765625
HLA-DRB1	flagged_artifact	1	466	466.0
HLA-DRB1	flagged_artifact	2	30	30.0
HLA-DRB1	flagged_artifact	3-4	10	5.0
HLA-DRB1	flagged_artifact	5-8	0	0.0
HLA-DRB1	flagged_artifact	9-16	0	0.0
HLA-DRB1	flagged_artifact	17-32	1	0.0625
HLA-DRB1	flagged_artifact	33-64	0	0.0
HLA-DRB1	flagged_artifact	65-128	0	0.0
HLA-DRB1	flagged_artifact	129-256	0	0.0
HLA-DRB1	flagged_artifact	257-512	0	0.0
HLA-DRB1	flagged_artifact	513-1024	0	0.0
HLA-DRB1	flagged_artifact	>1024	0	0.0
ALL_CLASSICAL	known	1	631	631.0
ALL_CLASSICAL	known	2	217	217.0
ALL_CLASSICAL	known	3-4	221	110.5
ALL_CLASSICAL	known	5-8	181	45.25
ALL_CLASSICAL	known	9-16	182	22.75
ALL_CLASSICAL	known	17-32	135	8.4375
ALL_CLASSICAL	known	33-64	129	4.03125
ALL_CLASSICAL	known	65-128	97	1.515625
ALL_CLASSICAL	known	129-256	90	0.703125
ALL_CLASSICAL	known	257-512	85	0.33203125
ALL_CLASSICAL	known	513-1024	52	0.1015625
ALL_CLASSICAL	known	>1024	27	0.0263671875
ALL_CLASSICAL	cds_changing	1	422	422.0
ALL_CLASSICAL	cds_changing	2	13	13.0
ALL_CLASSICAL	cds_changing	3-4	0	0.0
ALL_CLASSICAL	cds_changing	5-8	0	0.0
ALL_CLASSICAL	cds_changing	9-16	1	0.125
ALL_CLASSICAL	cds_changing	17-32	0	0.0
ALL_CLASSICAL	cds_changing	33-64	0	0.0
ALL_CLASSICAL	cds_changing	65-128	0	0.0
ALL_CLASSICAL	cds_changing	129-256	0	0.0
ALL_CLASSICAL	cds_changing	257-512	0	0.0
ALL_CLASSICAL	cds_changing	513-1024	0	0.0
ALL_CLASSICAL	cds_changing	>1024	0	0.0
ALL_CLASSICAL	noncoding_only	1	279	279.0
ALL_CLASSICAL	noncoding_only	2	76	76.0
ALL_CLASSICAL	noncoding_only	3-4	49	24.5
ALL_CLASSICAL	noncoding_only	5-8	47	11.75
ALL_CLASSICAL	noncoding_only	9-16	40	5.0
ALL_CLASSICAL	noncoding_only	17-32	55	3.4375
ALL_CLASSICAL	noncoding_only	33-64	53	1.65625
