gene	resolution	design	target_ancestry	total_n	size_used	coverage	note
HLA-DOA	protein	greedy_max_mean_coverage	UNASSIGNED	22611	7482	1.0	
HLA-DOA	protein	greedy_max_mean_coverage	GLOBAL_MEAN	22611	22611	1.0	
HLA-DOB	protein	actual_aou_composition	AFR	22780	4467	1.0000000000000002	
HLA-DOB	protein	actual_aou_composition	AMR	22780	3044	1.0	
HLA-DOB	protein	actual_aou_composition	EAS	22780	2466	1.0	
HLA-DOB	protein	actual_aou_composition	EUR	22780	2475	1.0	
HLA-DOB	protein	actual_aou_composition	MID	22780	588	1.0	
HLA-DOB	protein	actual_aou_composition	SAS	22780	2235	0.9999999999999999	
HLA-DOB	protein	actual_aou_composition	UNASSIGNED	22780	7505	0.9999999999999999	
HLA-DOB	protein	actual_aou_composition	GLOBAL_MEAN	22780	22780	1.0	
HLA-DOB	protein	equal_allocation	AFR	22780	3254	0.9997568418182362	
HLA-DOB	protein	equal_allocation	AMR	22780	3044	1.0	
HLA-DOB	protein	equal_allocation	EAS	22780	2466	1.0	
HLA-DOB	protein	equal_allocation	EUR	22780	2475	1.0	
HLA-DOB	protein	equal_allocation	MID	22780	588	1.0	
HLA-DOB	protein	equal_allocation	SAS	22780	2235	0.9999999999999999	
HLA-DOB	protein	equal_allocation	UNASSIGNED	22780	3254	0.9994353118993644	
HLA-DOB	protein	equal_allocation	GLOBAL_MEAN	22780	17316	0.9997662786745738	
HLA-DOB	protein	94pct_eur_ukb_like	AFR	22780	3384	0.9997829016398594	
HLA-DOB	protein	94pct_eur_ukb_like	AMR	22780	3044	1.0	
HLA-DOB	protein	94pct_eur_ukb_like	EAS	22780	2466	1.0	
HLA-DOB	protein	94pct_eur_ukb_like	EUR	22780	2475	1.0	
HLA-DOB	protein	94pct_eur_ukb_like	MID	22780	588	1.0	
HLA-DOB	protein	94pct_eur_ukb_like	SAS	22780	2235	0.9999999999999999	
HLA-DOB	protein	94pct_eur_ukb_like	UNASSIGNED	22780	3384	0.9994587939240283	
HLA-DOB	protein	94pct_eur_ukb_like	GLOBAL_MEAN	22780	17576	0.9997791251108463	
HLA-DOB	protein	greedy_max_mean_coverage	AFR	22780	4467	1.0000000000000002	
HLA-DOB	protein	greedy_max_mean_coverage	AMR	22780	3044	1.0	
HLA-DOB	protein	greedy_max_mean_coverage	EAS	22780	2466	1.0	
HLA-DOB	protein	greedy_max_mean_coverage	EUR	22780	2475	1.0	
HLA-DOB	protein	greedy_max_mean_coverage	MID	22780	588	1.0	
HLA-DOB	protein	greedy_max_mean_coverage	SAS	22780	2235	0.9999999999999999	
HLA-DOB	protein	greedy_max_mean_coverage	UNASSIGNED	22780	7505	0.9999999999999999	
HLA-DOB	protein	greedy_max_mean_coverage	GLOBAL_MEAN	22780	22780	1.0	
HLA-DPA1	protein	actual_aou_composition	AFR	22544	4413	0.9999999999999998	
HLA-DPA1	protein	actual_aou_composition	AMR	22544	3006	1.0000000000000002	
HLA-DPA1	protein	actual_aou_composition	EAS	22544	2433	1.0	
HLA-DPA1	protein	actual_aou_composition	EUR	22544	2452	1.0000000000000002	
HLA-DPA1	protein	actual_aou_composition	MID	22544	585	0.9999999999999999	
HLA-DPA1	protein	actual_aou_composition	SAS	22544	2201	1.0	
HLA-DPA1	protein	actual_aou_composition	UNASSIGNED	22544	7454	1.0000000000000002	
HLA-DPA1	protein	actual_aou_composition	GLOBAL_MEAN	22544	22544	1.0	
HLA-DPA1	protein	equal_allocation	AFR	22544	3220	0.9992122585311405	
HLA-DPA1	protein	equal_allocation	AMR	22544	3006	1.0000000000000002	
HLA-DPA1	protein	equal_allocation	EAS	22544	2433	1.0	
HLA-DPA1	protein	equal_allocation	EUR	22544	2452	1.0000000000000002	
HLA-DPA1	protein	equal_allocation	MID	22544	585	0.9999999999999999	
HLA-DPA1	protein	equal_allocation	SAS	22544	2201	1.0	
HLA-DPA1	protein	equal_allocation	UNASSIGNED	22544	3220	0.9990126219598164	
HLA-DPA1	protein	equal_allocation	GLOBAL_MEAN	22544	17117	0.9995193302424769	
HLA-DPA1	protein	94pct_eur_ukb_like	AFR	22544	3348	0.9993073033023256	
HLA-DPA1	protein	94pct_eur_ukb_like	AMR	22544	3006	1.0000000000000002	
HLA-DPA1	protein	94pct_eur_ukb_like	EAS	22544	2433	1.0	
HLA-DPA1	protein	94pct_eur_ukb_like	EUR	22544	2452	1.0000000000000002	
HLA-DPA1	protein	94pct_eur_ukb_like	MID	22544	585	0.9999999999999999	
HLA-DPA1	protein	94pct_eur_ukb_like	SAS	22544	2201	1.0	
HLA-DPA1	protein	94pct_eur_ukb_like	UNASSIGNED	22544	3348	0.9990511001709839	
HLA-DPA1	protein	94pct_eur_ukb_like	GLOBAL_MEAN	22544	17373	0.999550657831249	
HLA-DPA1	protein	greedy_max_mean_coverage	AFR	22544	4413	0.9999999999999998	
HLA-DPA1	protein	greedy_max_mean_coverage	AMR	22544	3006	1.0000000000000002	
HLA-DPA1	protein	greedy_max_mean_coverage	EAS	22544	2433	1.0	
HLA-DPA1	protein	greedy_max_mean_coverage	EUR	22544	2452	1.0000000000000002	
HLA-DPA1	protein	greedy_max_mean_coverage	MID	22544	585	0.9999999999999999	
HLA-DPA1	protein	greedy_max_mean_coverage	SAS	22544	2201	1.0	
HLA-DPA1	protein	greedy_max_mean_coverage	UNASSIGNED	22544	7454	1.0000000000000002	
HLA-DPA1	protein	greedy_max_mean_coverage	GLOBAL_MEAN	22544	22544	1.0	
HLA-DPB1	protein	actual_aou_composition	AFR	22159	4339	1.0000000000000018	
HLA-DPB1	protein	actual_aou_composition	AMR	22159	2949	1.0000000000000013	
HLA-DPB1	protein	actual_aou_composition	EAS	22159	2380	1.0	
HLA-DPB1	protein	actual_aou_composition	EUR	22159	2401	1.0	
HLA-DPB1	protein	actual_aou_composition	MID	22159	576	1.0000000000000002	
HLA-DPB1	protein	actual_aou_composition	SAS	22159	2175	1.0000000000000004	
HLA-DPB1	protein	actual_aou_composition	UNASSIGNED	22159	7339	0.9999999999999994	
HLA-DPB1	protein	actual_aou_composition	GLOBAL_MEAN	22159	22159	1.0000000000000004	
HLA-DPB1	protein	equal_allocation	AFR	22159	3165	0.9988363766807544	
HLA-DPB1	protein	equal_allocation	AMR	22159	2949	1.0000000000000013	
HLA-DPB1	protein	equal_allocation	EAS	22159	2380	1.0	
HLA-DPB1	protein	equal_allocation	EUR	22159	2401	1.0	
HLA-DPB1	protein	equal_allocation	MID	22159	576	1.0000000000000002	
HLA-DPB1	protein	equal_allocation	SAS	22159	2175	1.0000000000000004	
HLA-DPB1	protein	equal_allocation	UNASSIGNED	22159	3165	0.9984056521271611	
HLA-DPB1	protein	equal_allocation	GLOBAL_MEAN	22159	16811	0.999244104850356	
HLA-DPB1	protein	94pct_eur_ukb_like	AFR	22159	3293	0.998967532787387	
HLA-DPB1	protein	94pct_eur_ukb_like	AMR	22159	2949	1.0000000000000013	
HLA-DPB1	protein	94pct_eur_ukb_like	EAS	22159	2380	1.0	
HLA-DPB1	protein	94pct_eur_ukb_like	EUR	22159	2401	1.0	
HLA-DPB1	protein	94pct_eur_ukb_like	MID	22159	576	1.0000000000000002	
HLA-DPB1	protein	94pct_eur_ukb_like	SAS	22159	2175	1.0000000000000004	
HLA-DPB1	protein	94pct_eur_ukb_like	UNASSIGNED	22159	3293	0.9984642795375481	
HLA-DPB1	protein	94pct_eur_ukb_like	GLOBAL_MEAN	22159	17067	0.9992892040385641	
HLA-DPB1	protein	greedy_max_mean_coverage	AFR	22159	4339	1.0000000000000018	
HLA-DPB1	protein	greedy_max_mean_coverage	AMR	22159	2949	1.0000000000000013	
HLA-DPB1	protein	greedy_max_mean_coverage	EAS	22159	2380	1.0	
HLA-DPB1	protein	greedy_max_mean_coverage	EUR	22159	2401	1.0	
HLA-DPB1	protein	greedy_max_mean_coverage	MID	22159	576	1.0000000000000002	
HLA-DPB1	protein	greedy_max_mean_coverage	SAS	22159	2175	1.0000000000000004	
HLA-DPB1	protein	greedy_max_mean_coverage	UNASSIGNED	22159	7339	0.9999999999999994	
