gene	resolution	ancestry	n_haplotypes	frac_in_imgt_today
TAP1	protein	EUR	2349	0.9578544061302682
TAP1	protein	MID	561	0.9696969696969697
TAP1	protein	SAS	2134	0.9287722586691659
TAP1	protein	UNASSIGNED	7099	0.9288632201718552
TAP2	protein	AFR	4254	0.8779971791255289
TAP2	protein	AMR	2932	0.951568894952251
TAP2	protein	EAS	2343	0.8809218950064021
TAP2	protein	EUR	2348	0.9838160136286201
TAP2	protein	MID	555	0.9693693693693693
TAP2	protein	SAS	2157	0.923041261010663
TAP2	protein	UNASSIGNED	7217	0.9539975058888734
HLA-A	cds	AFR	4294	0.9983698183511877
HLA-A	cds	AMR	2994	0.9996659986639946
HLA-A	cds	EAS	2383	0.9983214435585397
HLA-A	cds	EUR	2423	0.9987618654560462
HLA-A	cds	MID	575	0.9965217391304347
HLA-A	cds	SAS	2192	0.9972627737226277
HLA-A	cds	UNASSIGNED	7321	0.998907253107499
HLA-B	cds	AFR	4322	0.997686256362795
HLA-B	cds	AMR	2974	0.9986550100874243
HLA-B	cds	EAS	2364	0.9978849407783418
HLA-B	cds	EUR	2430	0.9987654320987654
HLA-B	cds	MID	580	0.996551724137931
HLA-B	cds	SAS	2180	0.998165137614679
HLA-B	cds	UNASSIGNED	7332	0.9974086197490453
HLA-C	cds	AFR	4356	0.998852157943067
HLA-C	cds	AMR	2946	0.9986422267481331
HLA-C	cds	EAS	2349	0.9987228607918263
HLA-C	cds	EUR	2408	0.9975083056478405
HLA-C	cds	MID	567	0.9982363315696648
HLA-C	cds	SAS	2153	0.9990710636321412
HLA-C	cds	UNASSIGNED	7285	0.9982155113246397
HLA-DMA	cds	AFR	4398	0.9834015461573442
HLA-DMA	cds	AMR	3004	0.9940079893475366
HLA-DMA	cds	EAS	2438	0.9881050041017228
HLA-DMA	cds	EUR	2455	0.9955193482688391
HLA-DMA	cds	MID	588	0.9914965986394558
HLA-DMA	cds	SAS	2208	0.9927536231884058
HLA-DMA	cds	UNASSIGNED	7485	0.9949231796927188
HLA-DMB	cds	AFR	4414	0.9961486180335297
HLA-DMB	cds	AMR	3020	0.9956953642384105
HLA-DMB	cds	EAS	2428	0.9802306425041186
HLA-DMB	cds	EUR	2473	0.9979781641730692
HLA-DMB	cds	MID	583	0.9982847341337907
HLA-DMB	cds	SAS	2211	0.989145183175034
HLA-DMB	cds	UNASSIGNED	7459	0.9962461455959244
HLA-DOA	cds	AFR	4430	0.9873589164785553
HLA-DOA	cds	AMR	3016	0.995026525198939
HLA-DOA	cds	EAS	2426	0.9958779884583677
HLA-DOA	cds	EUR	2462	0.9995938261575954
HLA-DOA	cds	MID	579	0.9948186528497409
HLA-DOA	cds	SAS	2216	0.9936823104693141
HLA-DOA	cds	UNASSIGNED	7482	0.9934509489441326
HLA-DOB	cds	AFR	4467	0.9955227221849116
HLA-DOB	cds	AMR	3044	0.9967148488830486
HLA-DOB	cds	EAS	2466	0.9987834549878345
HLA-DOB	cds	EUR	2475	0.9947474747474747
HLA-DOB	cds	MID	588	0.9965986394557823
HLA-DOB	cds	SAS	2235	0.996420581655481
HLA-DOB	cds	UNASSIGNED	7505	0.9972018654230513
HLA-DPA1	cds	AFR	4413	0.9981871742578745
HLA-DPA1	cds	AMR	3006	0.9993346640053227
HLA-DPA1	cds	EAS	2433	0.998766954377312
HLA-DPA1	cds	EUR	2452	0.9991843393148451
HLA-DPA1	cds	MID	585	0.9965811965811966
HLA-DPA1	cds	SAS	2201	0.9990913221263062
HLA-DPA1	cds	UNASSIGNED	7454	0.9986584384223236
HLA-DPA2	cds	UNASSIGNED	<20	1.0
HLA-DPB1	cds	AFR	4339	0.9983867250518552
HLA-DPB1	cds	AMR	2949	0.9993218040013564
HLA-DPB1	cds	EAS	2380	0.9974789915966387
HLA-DPB1	cds	EUR	2401	0.9991670137442732
HLA-DPB1	cds	MID	576	0.9965277777777778
HLA-DPB1	cds	SAS	2175	0.9981609195402299
HLA-DPB1	cds	UNASSIGNED	7339	0.9987736748875868
HLA-DPB2	cds	AFR	<20	0.8
HLA-DPB2	cds	EAS	<20	1.0
HLA-DPB2	cds	EUR	<20	1.0
HLA-DPB2	cds	MID	<20	1.0
HLA-DPB2	cds	SAS	<20	1.0
HLA-DPB2	cds	UNASSIGNED	<20	0.7142857142857143
HLA-DQA1	cds	AFR	4363	0.9983955993582397
HLA-DQA1	cds	AMR	3019	0.999337528983107
HLA-DQA1	cds	EAS	2427	0.9987639060568603
HLA-DQA1	cds	EUR	2440	0.9987704918032787
HLA-DQA1	cds	MID	580	0.9982758620689656
HLA-DQA1	cds	SAS	2214	0.997289972899729
HLA-DQA1	cds	UNASSIGNED	7399	0.9986484660089201
HLA-DQA2	cds	AFR	4457	0.9851918330715728
HLA-DQA2	cds	AMR	3048	0.9954068241469817
HLA-DQA2	cds	EAS	2445	0.9955010224948875
HLA-DQA2	cds	EUR	2468	0.9991896272285251
HLA-DQA2	cds	MID	595	0.9949579831932773
HLA-DQA2	cds	SAS	2231	0.9964141640519946
HLA-DQA2	cds	UNASSIGNED	7484	0.996125066809193
HLA-DQB1	cds	AFR	4312	0.9976808905380334
HLA-DQB1	cds	AMR	2960	0.9989864864864865
HLA-DQB1	cds	EAS	2411	0.9979261717129821
HLA-DQB1	cds	EUR	2425	0.9995876288659794
HLA-DQB1	cds	MID	573	0.9982547993019197
HLA-DQB1	cds	SAS	2196	0.9986338797814208
HLA-DQB1	cds	UNASSIGNED	7303	0.9986306997124469
HLA-DQB2	cds	AFR	4429	0.9591329871302777
HLA-DQB2	cds	AMR	3026	0.9877726371447455
HLA-DQB2	cds	EAS	2448	0.9918300653594772
HLA-DQB2	cds	EUR	2468	0.9951377633711507
HLA-DQB2	cds	MID	584	0.9794520547945206
HLA-DQB2	cds	SAS	2213	0.9918662449164031
HLA-DQB2	cds	UNASSIGNED	7475	0.9852842809364548
HLA-DRA	cds	AFR	4325	0.9953757225433526
HLA-DRA	cds	AMR	2976	0.9966397849462365
HLA-DRA	cds	EAS	2393	0.9958211450062683
HLA-DRA	cds	EUR	2430	0.9995884773662551
HLA-DRA	cds	MID	581	1.0
HLA-DRA	cds	SAS	2174	0.9967801287948482
HLA-DRA	cds	UNASSIGNED	7330	0.9980900409276944
HLA-DRB1	cds	AFR	4308	0.9981429897864438
HLA-DRB1	cds	AMR	2944	1.0
HLA-DRB1	cds	EAS	2366	0.9991546914623838
HLA-DRB1	cds	EUR	2386	0.9983235540653814
HLA-DRB1	cds	MID	566	0.9964664310954063
HLA-DRB1	cds	SAS	2164	0.9995378927911276
HLA-DRB1	cds	UNASSIGNED	7252	0.999034749034749
HLA-DRB3	cds	AFR	2186	0.9990850869167429
HLA-DRB3	cds	AMR	1068	1.0
HLA-DRB3	cds	EAS	912	0.9978070175438597
HLA-DRB3	cds	EUR	960	0.996875
HLA-DRB3	cds	MID	284	0.9964788732394366
HLA-DRB3	cds	SAS	844	0.9988151658767772
HLA-DRB3	cds	UNASSIGNED	3265	1.0
HLA-DRB4	cds	AFR	712	1.0
HLA-DRB4	cds	AMR	947	0.9989440337909187
HLA-DRB4	cds	EAS	696	0.9956896551724138
HLA-DRB4	cds	EUR	664	0.9984939759036144
HLA-DRB4	cds	MID	155	1.0
HLA-DRB4	cds	SAS	466	1.0
HLA-DRB4	cds	UNASSIGNED	1823	0.9983543609434997
HLA-DRB5	cds	AFR	713	0.9985974754558204
HLA-DRB5	cds	AMR	307	0.993485342019544
HLA-DRB5	cds	EAS	447	1.0
HLA-DRB5	cds	EUR	378	1.0
HLA-DRB5	cds	MID	56	1.0
HLA-DRB5	cds	SAS	520	1.0
HLA-DRB5	cds	UNASSIGNED	929	1.0
HLA-E	cds	AFR	4318	0.9960629921259843
HLA-E	cds	AMR	2965	0.9956155143338955
HLA-E	cds	EAS	2358	0.9974554707379135
HLA-E	cds	EUR	2411	0.9991704686851929
HLA-E	cds	MID	563	1.0
HLA-E	cds	SAS	2153	0.9981421272642824
HLA-E	cds	UNASSIGNED	7252	0.9977937120794264
HLA-F	cds	AFR	4349	0.9924120487468383
HLA-F	cds	AMR	2975	0.9899159663865547
HLA-F	cds	EAS	2362	0.9949195596951735
HLA-F	cds	EUR	2393	0.9979105725031342
HLA-F	cds	MID	570	0.9912280701754386
HLA-F	cds	SAS	2163	0.994914470642626
HLA-F	cds	UNASSIGNED	7288	0.9932766190998902
HLA-G	cds	AFR	4053	0.996052306933136
HLA-G	cds	AMR	2938	0.9969366916269571
HLA-G	cds	EAS	2341	0.9598462195642887
HLA-G	cds	EUR	2405	0.9954261954261955
HLA-G	cds	MID	546	1.0
HLA-G	cds	SAS	2179	0.992198256080771
HLA-G	cds	UNASSIGNED	7200	0.9931944444444445
HLA-H	cds	AFR	376	1.0
HLA-H	cds	AMR	173	1.0
HLA-H	cds	EAS	31	1.0
HLA-H	cds	EUR	364	1.0
HLA-H	cds	MID	50	1.0
HLA-H	cds	SAS	165	1.0
HLA-H	cds	UNASSIGNED	761	1.0
HLA-HFE	cds	AFR	265	0.9735849056603774
HLA-HFE	cds	AMR	672	0.9866071428571429
HLA-HFE	cds	EAS	322	0.9720496894409938
HLA-HFE	cds	EUR	344	0.9651162790697675
HLA-HFE	cds	MID	74	0.9864864864864865
HLA-HFE	cds	SAS	326	0.9938650306748467
HLA-HFE	cds	UNASSIGNED	947	0.986272439281943
HLA-J	cds	AFR	3643	1.0
HLA-J	cds	AMR	2428	1.0
HLA-J	cds	EAS	1825	1.0
HLA-J	cds	EUR	2145	1.0
HLA-J	cds	MID	501	1.0
HLA-J	cds	SAS	1798	1.0
HLA-J	cds	UNASSIGNED	6041	1.0
HLA-K	cds	AFR	361	1.0
HLA-K	cds	AMR	153	1.0
HLA-K	cds	EAS	31	1.0
HLA-K	cds	EUR	342	1.0
HLA-K	cds	MID	44	1.0
HLA-K	cds	SAS	169	1.0
HLA-K	cds	UNASSIGNED	691	1.0
HLA-L	cds	EUR	<20	0.0
HLA-N	cds	AFR	<20	0.0
HLA-P	cds	AFR	2884	1.0
HLA-P	cds	AMR	2401	1.0
HLA-P	cds	EAS	1694	1.0
HLA-P	cds	EUR	2092	1.0
HLA-P	cds	MID	456	1.0
HLA-P	cds	SAS	1700	1.0
HLA-P	cds	UNASSIGNED	5750	1.0
HLA-T	cds	AFR	3642	1.0
HLA-T	cds	AMR	2426	1.0
HLA-T	cds	EAS	1753	1.0
HLA-T	cds	EUR	2185	1.0
HLA-T	cds	MID	455	1.0
HLA-T	cds	SAS	1829	1.0
HLA-T	cds	UNASSIGNED	6199	1.0
HLA-U	cds	AFR	43	1.0
HLA-U	cds	AMR	77	1.0
HLA-U	cds	EUR	108	1.0
HLA-U	cds	MID	25	1.0
HLA-U	cds	SAS	81	1.0
HLA-U	cds	UNASSIGNED	222	0.9954954954954955
HLA-V	cds	AFR	<20	0.0
HLA-W	cds	AFR	554	1.0
HLA-W	cds	AMR	587	1.0
HLA-W	cds	EAS	320	1.0
HLA-W	cds	EUR	843	1.0
HLA-W	cds	MID	134	1.0
HLA-W	cds	SAS	576	1.0
HLA-W	cds	UNASSIGNED	1991	1.0
HLA-Y	cds	AMR	<20	1.0
HLA-Y	cds	EAS	88	1.0
HLA-Y	cds	UNASSIGNED	<20	1.0
MICA	cds	AFR	2655	0.9894538606403013
MICA	cds	AMR	2157	0.9944367176634215
MICA	cds	EAS	1806	0.9767441860465116
MICA	cds	EUR	1208	0.9950331125827815
MICA	cds	MID	452	0.995575221238938
MICA	cds	SAS	1510	0.9887417218543046
MICA	cds	UNASSIGNED	4749	0.992630027374184
MICB	cds	AFR	4083	0.9796718099436689
MICB	cds	AMR	2816	0.9857954545454546
MICB	cds	EAS	2276	0.9951669595782073
MICB	cds	EUR	2255	0.9889135254988913
MICB	cds	MID	551	0.9927404718693285
MICB	cds	SAS	2053	0.9902581587920117
MICB	cds	UNASSIGNED	6862	0.9881958612649373
TAP1	cds	AFR	4191	0.8141255070388929
TAP1	cds	AMR	2891	0.938083708059495
TAP1	cds	EAS	2313	0.9701686121919585
TAP1	cds	EUR	2349	0.951894423158791
TAP1	cds	MID	561	0.966131907308378
TAP1	cds	SAS	2134	0.9226804123711341
TAP1	cds	UNASSIGNED	7099	0.9236512184814762
TAP2	cds	AFR	4254	0.8479078514339445
TAP2	cds	AMR	2932	0.9375852660300137
TAP2	cds	EAS	2343	0.861288945795988
TAP2	cds	EUR	2348	0.9770017035775128
TAP2	cds	MID	555	0.9621621621621622
TAP2	cds	SAS	2157	0.9133055169216504
TAP2	cds	UNASSIGNED	7217	0.9409727033393377
