gene	resolution	ancestry_ref	ancestry_target	m_ref	cross_coverage	unseen_in_target	is_diagonal
HLA-DMB	protein	AMR	MID	583.0	0.9988548509323281	0.0	False
HLA-DMB	protein	AMR	SAS	583.0	0.9899466383525836	0.0018087269232582859	False
HLA-DMB	protein	AMR	UNASSIGNED	583.0	0.997033082340003	0.002010957479070208	False
HLA-DMB	protein	EAS	AFR	583.0	0.978614652508394	0.0006795529818802715	False
HLA-DMB	protein	EAS	AMR	583.0	0.9785642470078769	0.002317661454196207	False
HLA-DMB	protein	EAS	EAS	583.0	0.9960226623077153	0.0024708303338284443	True
HLA-DMB	protein	EAS	EUR	583.0	0.9787330847007195	0.0012127744264641693	False
HLA-DMB	protein	EAS	MID	583.0	0.9922473938284597	0.0	False
HLA-DMB	protein	EAS	SAS	583.0	0.9908982725270704	0.0018087269232582859	False
HLA-DMB	protein	EAS	UNASSIGNED	583.0	0.9850859313362189	0.002010957479070208	False
HLA-DMB	protein	EUR	AFR	583.0	0.9970188302932576	0.0006795529818802715	False
HLA-DMB	protein	EUR	AMR	583.0	0.9968919542480604	0.002317661454196207	False
HLA-DMB	protein	EUR	EAS	583.0	0.9686985142159894	0.0024708303338284443	False
HLA-DMB	protein	EUR	EUR	583.0	0.9985214869613118	0.0012127744264641693	True
HLA-DMB	protein	EUR	MID	583.0	0.9982458026248917	0.0	False
HLA-DMB	protein	EUR	SAS	583.0	0.9898955669615913	0.0018087269232582859	False
HLA-DMB	protein	EUR	UNASSIGNED	583.0	0.9967245339884445	0.002010957479070208	False
HLA-DMB	protein	MID	AFR	583.0	0.9986406887177164	0.0006795529818802715	False
HLA-DMB	protein	MID	AMR	583.0	0.997682119205298	0.002317661454196207	False
HLA-DMB	protein	MID	EAS	583.0	0.9686985172981879	0.0024708303338284443	False
HLA-DMB	protein	MID	EUR	583.0	0.9987868985038415	0.0012127744264641693	False
HLA-DMB	protein	MID	MID	583.0	1.0	0.0	True
HLA-DMB	protein	MID	SAS	583.0	0.990049751243781	0.0018087269232582859	False
HLA-DMB	protein	MID	UNASSIGNED	583.0	0.9973186754256603	0.002010957479070208	False
HLA-DMB	protein	SAS	AFR	583.0	0.9801840367710161	0.0006795529818802715	False
HLA-DMB	protein	SAS	AMR	583.0	0.9793960660265298	0.002317661454196207	False
HLA-DMB	protein	SAS	EAS	583.0	0.9708564442215467	0.0024708303338284443	False
HLA-DMB	protein	SAS	EUR	583.0	0.9797313473049885	0.0012127744264641693	False
HLA-DMB	protein	SAS	MID	583.0	0.9936850908403706	0.0	False
HLA-DMB	protein	SAS	SAS	583.0	0.9974779006804106	0.0018087269232582859	True
HLA-DMB	protein	SAS	UNASSIGNED	583.0	0.9857938896921925	0.002010957479070208	False
HLA-DMB	protein	UNASSIGNED	AFR	583.0	0.9970232584856201	0.0006795529818802715	False
HLA-DMB	protein	UNASSIGNED	AMR	583.0	0.9969766225333718	0.002317661454196207	False
HLA-DMB	protein	UNASSIGNED	EAS	583.0	0.9706616691002714	0.0024708303338284443	False
HLA-DMB	protein	UNASSIGNED	EUR	583.0	0.9982224729970067	0.0012127744264641693	False
HLA-DMB	protein	UNASSIGNED	MID	583.0	0.9982147165485872	0.0	False
HLA-DMB	protein	UNASSIGNED	SAS	583.0	0.9911472337315611	0.0018087269232582859	False
HLA-DMB	protein	UNASSIGNED	UNASSIGNED	583.0	0.9969967187402443	0.002010957479070208	True
HLA-DOA	protein	AFR	AFR	579.0	0.9965272772302091	0.0013541979678367566	True
HLA-DOA	protein	AFR	AMR	579.0	0.9855224576867705	0.001989170001131857	False
HLA-DOA	protein	AFR	EAS	579.0	0.992464153099995	0.001648464727018517	False
HLA-DOA	protein	AFR	EUR	579.0	0.9931868943662373	0.0	False
HLA-DOA	protein	AFR	MID	579.0	0.9806498158107674	0.005169422300661197	False
HLA-DOA	protein	AFR	SAS	579.0	0.9411864192492224	0.002255503060885622	False
HLA-DOA	protein	AFR	UNASSIGNED	579.0	0.971062168411976	0.0012028511980758383	False
HLA-DOA	protein	AMR	AFR	579.0	0.9904310360674405	0.0013541979678367566	False
HLA-DOA	protein	AMR	AMR	579.0	0.9954528362542402	0.001989170001131857	True
HLA-DOA	protein	AMR	EAS	579.0	0.9920274498160794	0.001648464727018517	False
HLA-DOA	protein	AMR	EUR	579.0	0.9992569073546882	0.0	False
HLA-DOA	protein	AMR	MID	579.0	0.9922488195105998	0.005169422300661197	False
HLA-DOA	protein	AMR	SAS	579.0	0.9539018863075281	0.002255503060885622	False
HLA-DOA	protein	AMR	UNASSIGNED	579.0	0.98831658356938	0.0012028511980758383	False
HLA-DOA	protein	EAS	AFR	579.0	0.9891882795057081	0.0013541979678367566	False
HLA-DOA	protein	EAS	AMR	579.0	0.9867316245373119	0.001989170001131857	False
HLA-DOA	protein	EAS	EAS	579.0	0.9971087980421491	0.001648464727018517	True
HLA-DOA	protein	EAS	EUR	579.0	0.9953550727600312	0.0	False
HLA-DOA	protein	EAS	MID	579.0	0.985231041721022	0.005169422300661197	False
HLA-DOA	protein	EAS	SAS	579.0	0.971618501403963	0.002255503060885622	False
HLA-DOA	protein	EAS	UNASSIGNED	579.0	0.9716553527598196	0.0012028511980758383	False
