gene	category	ancestry	n_haplotypes_observed	factor	n_haplotypes_target	S_obs	extrapolated_richness	additional_alleles_projected
HLA-DQB2	novel	MID	376	5	1880	28	61.09	33.09
HLA-DQB2	novel	MID	376	10	3760	28	69.11	41.11
HLA-DQB2	novel	SAS	840	2	1680	72	125.27	53.27
HLA-DQB2	novel	SAS	840	5	4200	72	239.54	167.54
HLA-DQB2	novel	SAS	840	10	8400	72	336.93	264.93
HLA-DQB2	novel	POOLED	9569	2	19138	418	737.86	319.86
HLA-DQB2	novel	POOLED	9569	5	47845	418	1410.94	992.94
HLA-DQB2	novel	POOLED	9569	10	95690	418	1962.78	1544.78
HLA-DRA	all	AFR	5929	2	11858	203	338.83	135.83
HLA-DRA	all	AFR	5929	5	29645	203	621.96	418.96
HLA-DRA	all	AFR	5929	10	59290	203	849.7	646.7
HLA-DRA	all	AMR	5313	2	10626	168	286.13	118.13
HLA-DRA	all	AMR	5313	5	26565	168	588.0	420.0
HLA-DRA	all	AMR	5313	10	53130	168	953.01	785.01
HLA-DRA	all	EAS	2872	2	5744	107	181.07	74.07
HLA-DRA	all	EAS	2872	5	14360	107	371.6	264.6
HLA-DRA	all	EAS	2872	10	28720	107	605.04	498.04
HLA-DRA	all	EUR	5898	2	11796	171	291.18	120.18
HLA-DRA	all	EUR	5898	5	29490	171	590.1	419.1
HLA-DRA	all	EUR	5898	10	58980	171	932.5	761.5
HLA-DRA	all	MID	951	2	1902	50	71.03	21.03
HLA-DRA	all	MID	951	5	4755	50	123.76	73.76
HLA-DRA	all	MID	951	10	9510	50	185.17	135.17
HLA-DRA	all	SAS	2416	2	4832	75	118.06	43.06
HLA-DRA	all	SAS	2416	5	12080	75	226.47	151.47
HLA-DRA	all	SAS	2416	10	24160	75	353.73	278.73
HLA-DRA	all	POOLED	23423	2	46846	534	944.0	410.0
HLA-DRA	all	POOLED	23423	5	117115	534	1917.06	1383.06
HLA-DRA	all	POOLED	23423	10	234230	534	2932.0	2398.0
HLA-DRA	known	AFR	4876	2	9752	38	40.07	2.07
HLA-DRA	known	AFR	4876	5	24380	38	40.66	2.66
HLA-DRA	known	AFR	4876	10	48760	38	40.67	2.67
HLA-DRA	known	AMR	4682	2	9364	39	42.44	3.44
HLA-DRA	known	AMR	4682	5	23410	39	44.99	5.99
HLA-DRA	known	AMR	4682	10	46820	39	45.24	6.24
HLA-DRA	known	EAS	2481	2	4962	30	34.7	4.7
HLA-DRA	known	EAS	2481	5	12405	30	37.9	7.9
HLA-DRA	known	EAS	2481	10	24810	30	38.16	8.16
HLA-DRA	known	EUR	5311	2	10622	39	40.05	1.05
HLA-DRA	known	EUR	5311	5	26555	39	40.12	1.12
HLA-DRA	known	EUR	5311	10	53110	39	40.12	1.12
HLA-DRA	known	MID	829	2	1658	29	32.15	3.15
HLA-DRA	known	MID	829	5	4145	29	35.91	6.91
HLA-DRA	known	MID	829	10	8290	29	36.9	7.9
HLA-DRA	known	SAS	2088	2	4176	26	27.26	1.26
HLA-DRA	known	SAS	2088	5	10440	26	27.96	1.96
HLA-DRA	known	SAS	2088	10	20880	26	28.0	2.0
HLA-DRA	known	POOLED	20308	2	40616	48	49.47	1.47
HLA-DRA	known	POOLED	20308	5	101540	48	49.6	1.6
HLA-DRA	known	POOLED	20308	10	203080	48	49.6	1.6
HLA-DRA	novel	AFR	1112	2	2224	165	299.52	134.52
HLA-DRA	novel	AFR	1112	5	5560	165	599.67	434.67
HLA-DRA	novel	AFR	1112	10	11120	165	876.38	711.38
HLA-DRA	novel	AMR	663	2	1326	129	244.04	115.04
HLA-DRA	novel	AMR	663	5	3315	129	556.02	427.02
HLA-DRA	novel	AMR	663	10	6630	129	980.89	851.89
HLA-DRA	novel	EAS	412	2	824	77	145.99	68.99
HLA-DRA	novel	EAS	412	5	2060	77	341.33	264.33
HLA-DRA	novel	EAS	412	10	4120	77	631.34	554.34
HLA-DRA	novel	EUR	620	2	1240	132	253.02	121.02
HLA-DRA	novel	EUR	620	5	3100	132	593.28	461.28
HLA-DRA	novel	EUR	620	10	6200	132	1091.48	959.48
HLA-DRA	novel	MID	127	2	254	21	37.97	16.97
HLA-DRA	novel	MID	127	5	635	21	78.31	57.31
HLA-DRA	novel	MID	127	10	1270	21	120.56	99.56
HLA-DRA	novel	SAS	336	2	672	49	91.01	42.01
HLA-DRA	novel	SAS	336	5	1680	49	205.9	156.9
HLA-DRA	novel	SAS	336	10	3360	49	365.01	316.01
HLA-DRA	novel	POOLED	3273	2	6546	486	896.65	410.65
HLA-DRA	novel	POOLED	3273	5	16365	486	1913.62	1427.62
HLA-DRA	novel	POOLED	3273	10	32730	486	3068.57	2582.57
HLA-DRB1	all	AFR	5903	2	11806	301	469.22	168.22
HLA-DRB1	all	AFR	5903	5	29515	301	809.28	508.28
HLA-DRB1	all	AFR	5903	10	59030	301	1066.55	765.55
HLA-DRB1	all	AMR	5243	2	10486	285	431.0	146.0
HLA-DRB1	all	AMR	5243	5	26215	285	729.21	444.21
HLA-DRB1	all	AMR	5243	10	52430	285	959.54	674.54
HLA-DRB1	all	EAS	2855	2	5710	191	273.84	82.84
HLA-DRB1	all	EAS	2855	5	14275	191	385.3	194.3
HLA-DRB1	all	EAS	2855	10	28550	191	422.51	231.51
HLA-DRB1	all	EUR	5832	2	11664	280	418.39	138.39
HLA-DRB1	all	EUR	5832	5	29160	280	648.7	368.7
HLA-DRB1	all	EUR	5832	10	58320	280	766.67	486.67
HLA-DRB1	all	MID	939	2	1878	105	137.2	32.2
HLA-DRB1	all	MID	939	5	4695	105	179.14	74.14
HLA-DRB1	all	MID	939	10	9390	105	192.25	87.25
HLA-DRB1	all	SAS	2416	2	4832	161	231.26	70.26
HLA-DRB1	all	SAS	2416	5	12080	161	346.82	185.82
HLA-DRB1	all	SAS	2416	10	24160	161	404.62	243.62
HLA-DRB1	all	POOLED	23234	2	46468	814	1332.96	518.96
HLA-DRB1	all	POOLED	23234	5	116170	814	2373.51	1559.51
HLA-DRB1	all	POOLED	23234	10	232340	814	3147.99	2333.99
HLA-DRB1	known	AFR	1962	2	3924	84	99.95	15.95
HLA-DRB1	known	AFR	1962	5	9810	84	112.09	28.09
HLA-DRB1	known	AFR	1962	10	19620	84	113.35	29.35
HLA-DRB1	known	AMR	2111	2	4222	96	113.2	17.2
HLA-DRB1	known	AMR	2111	5	10555	96	125.96	29.96
HLA-DRB1	known	AMR	2111	10	21110	96	127.21	31.21
HLA-DRB1	known	EAS	793	2	1586	56	62.26	6.26
HLA-DRB1	known	EAS	793	5	3965	56	63.66	7.66
HLA-DRB1	known	EAS	793	10	7930	56	63.67	7.67
HLA-DRB1	known	EUR	2836	2	5672	83	97.1	14.1
HLA-DRB1	known	EUR	2836	5	14180	83	106.7	23.7
HLA-DRB1	known	EUR	2836	10	28360	83	107.48	24.48
HLA-DRB1	known	MID	330	2	660	43	50.07	7.07
HLA-DRB1	known	MID	330	5	1650	43	53.16	10.16
HLA-DRB1	known	MID	330	10	3300	43	53.25	10.25
HLA-DRB1	known	SAS	764	2	1528	53	66.43	13.43
HLA-DRB1	known	SAS	764	5	3820	53	77.4	24.4
HLA-DRB1	known	SAS	764	10	7640	53	78.72	25.72
HLA-DRB1	known	POOLED	8815	2	17630	150	173.5	23.5
HLA-DRB1	known	POOLED	8815	5	44075	150	189.5	39.5
HLA-DRB1	known	POOLED	8815	10	88150	150	190.81	40.81
HLA-DRB1	novel	AFR	4009	2	8018	217	370.39	153.39
HLA-DRB1	novel	AFR	4009	5	20045	217	732.22	515.22
HLA-DRB1	novel	AFR	4009	10	40090	217	1105.03	888.03
HLA-DRB1	novel	AMR	3202	2	6404	189	319.17	130.17
HLA-DRB1	novel	AMR	3202	5	16010	189	647.33	458.33
HLA-DRB1	novel	AMR	3202	10	32020	189	1033.58	844.58
HLA-DRB1	novel	EAS	2086	2	4172	135	213.84	78.84
HLA-DRB1	novel	EAS	2086	5	10430	135	361.04	226.04
HLA-DRB1	novel	EAS	2086	10	20860	135	456.01	321.01
HLA-DRB1	novel	EUR	3063	2	6126	197	322.14	125.14
HLA-DRB1	novel	EUR	3063	5	15315	197	563.95	366.95
HLA-DRB1	novel	EUR	3063	10	30630	197	731.08	534.08
HLA-DRB1	novel	MID	615	2	1230	62	88.09	26.09
HLA-DRB1	novel	MID	615	5	3075	62	147.27	85.27
HLA-DRB1	novel	MID	615	10	6150	62	203.69	141.69
HLA-DRB1	novel	SAS	1668	2	3336	108	165.36	57.36
HLA-DRB1	novel	SAS	1668	5	8340	108	284.32	176.32
HLA-DRB1	novel	SAS	1668	10	16680	108	379.08	271.08
HLA-DRB1	novel	POOLED	14670	2	29340	664	1161.39	497.39
HLA-DRB1	novel	POOLED	14670	5	73350	664	2240.49	1576.49
HLA-DRB1	novel	POOLED	14670	10	146700	664	3180.95	2516.95
HLA-DRB3	all	AFR	2936	2	5872	88	147.09	59.09
HLA-DRB3	all	AFR	2936	5	14680	88	293.62	205.62
HLA-DRB3	all	AFR	2936	10	29360	88	460.47	372.47
HLA-DRB3	all	AMR	2021	2	4042	70	112.01	42.01
HLA-DRB3	all	AMR	2021	5	10105	70	226.94	156.94
HLA-DRB3	all	AMR	2021	10	20210	70	386.18	316.18
HLA-DRB3	all	EAS	1091	2	2182	50	79.3	29.3
HLA-DRB3	all	EAS	1091	5	5455	50	134.47	84.47
HLA-DRB3	all	EAS	1091	10	10910	50	170.68	120.68
HLA-DRB3	all	EUR	2492	2	4984	72	113.34	41.34
HLA-DRB3	all	EUR	2492	5	12460	72	194.89	122.89
HLA-DRB3	all	EUR	2492	10	24920	72	253.64	181.64
HLA-DRB3	all	MID	483	2	966	27	34.26	7.26
HLA-DRB3	all	MID	483	5	2415	27	43.8	16.8
HLA-DRB3	all	MID	483	10	4830	27	46.84	19.84
HLA-DRB3	all	SAS	946	2	1892	37	51.53	14.53
HLA-DRB3	all	SAS	946	5	4730	37	70.63	33.63
HLA-DRB3	all	SAS	946	10	9460	37	76.72	39.72
HLA-DRB3	all	POOLED	9988	2	19976	218	370.65	152.65
HLA-DRB3	all	POOLED	9988	5	49940	218	707.58	489.58
HLA-DRB3	all	POOLED	9988	10	99880	218	1011.51	793.51
HLA-DRB3	known	AFR	1148	2	2296	22	25.15	3.15
HLA-DRB3	known	AFR	1148	5	5740	22	28.91	6.91
HLA-DRB3	known	AFR	1148	10	11480	22	29.9	7.9
HLA-DRB3	known	AMR	654	2	1308	24	26.19	2.19
HLA-DRB3	known	AMR	654	5	3270	24	28.18	4.18
HLA-DRB3	known	AMR	654	10	6540	24	28.48	4.48
